horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
21,13,0.9308219178082165,0.7876461150584461,6873,8493.0,10.869349699044022,10.87061654824662,0.02899381159752464,8726,8473,8726,253,0,1090,510,0,0.8846613545816733,0.6562331354560172,0.22842821912565603
21,14,0.9363013698630104,0.8018780431254348,6917,8517.0,9.968107978977544,9.96522142360306,0.029445861349408763,8626,8372,8626,254,0,984,471,0,0.8858750251155314,0.6873115922170457,0.19856343289848566
21,15,0.9341095890410925,0.7825495750708216,6906,8497.0,11.09394081728511,11.132351274787535,0.03501416430594901,8825,8516,8825,309,0,1119,491,0,0.8818713450292398,0.6446549391069012,0.2372164059223386
21,16,0.9343835616438333,0.7910107232489163,6934,8511.0,10.834922877663958,10.858544375998175,0.031143052703627654,8766,8493,8766,273,0,1079,480,0,0.8857699805068227,0.6573157315731574,0.22845424893366528
21,17,0.933013698630135,0.7898975952134392,6865,8480.0,10.41632170313424,10.412380623633643,0.027154527672304682,8691,8455,8691,236,0,1094,496,0,0.8758222045046841,0.6725639629831247,0.20325824152155936
21,18,0.9358904109589021,0.79252443933295,6891,8524.0,10.65159386068477,10.645773433007475,0.025876940770557792,8695,8470,8695,225,0,1102,477,0,0.8724271844660194,0.6764456981664316,0.19598148629958778
21,19,0.9326027397260251,0.790901835594573,6937,8490.0,10.73452157598499,10.731273514992589,0.02770493672329267,8771,8528,8771,243,0,1095,496,0,0.8839127872716559,0.6622282608695652,0.2216845264020907
21,20,0.9328767123287648,0.7787779903229436,6921,8436.0,10.941369221767115,10.978958028581074,0.03848317767525599,8887,8545,8887,342,0,1124,500,0,0.8760856977417487,0.6427415002698327,0.23334419747191604
21,21,0.9339726027397243,0.8032977241058987,6918,8501.0,9.85171466124985,9.849744542498838,0.028216442173711102,8612,8369,8612,243,0,962,489,0,0.8860784704242183,0.6875522138680034,0.19852625655621492
21,22,0.9357534246575328,0.7800067241958982,6960,8511.0,11.627264282396656,11.652247002129329,0.03485374873921327,8923,8612,8923,311,0,1177,475,0,0.8748787584869059,0.6502123142250531,0.22466644426185278
21,23,0.9389041095890389,0.7930797433547204,6922,8538.0,11.103798065581506,11.106668194317141,0.028643446379468376,8728,8478,8728,250,0,1107,449,0,0.8786586547780577,0.669375175119081,0.20928347965897676
21,24,0.9347945205479427,0.7997443049744305,6881,8497.0,10.247966507177033,10.24907019990702,0.028358902835890282,8604,8360,8604,244,0,999,480,0,0.8874172185430463,0.6790941728804197,0.2083230456626266
21,25,0.9317808219178058,0.8000234301780693,6829,8477.0,9.698299770891113,9.700328022492972,0.028467666354264294,8536,8293,8536,243,0,965,499,0,0.8877122877122877,0.6757292551685075,0.21198303254378026
