policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Strict C1 reservation,5122,1,9240,9240,0,9240,0,3256,453,5531,5.301298701298701,5.301298701298701,0.5985930735930736,0.4735445205479452,0.0,48984.0,48984.0,0.0,1.0
Strict C1 reservation,5122,2,8936,8936,0,8936,0,3228,493,5215,5.524283795881827,5.524283795881827,0.5835944494180841,0.4464897260273973,0.0,49365.0,49365.0,0.0,1.0
Strict C1 reservation,5123,1,9065,9065,0,9065,0,3173,460,5432,5.303364589078875,5.303364589078875,0.5992277992277992,0.46506849315068494,0.0,48075.0,48075.0,0.0,1.0
Strict C1 reservation,5123,2,9055,9055,0,9055,0,3264,497,5294,5.463500828271673,5.463500828271673,0.5846493649917173,0.45325342465753427,0.0,49472.0,49472.0,0.0,1.0
Strict C1 reservation,5124,1,9261,9261,0,9261,0,3276,509,5476,5.346182917611489,5.346182917611489,0.5912968361947953,0.46883561643835614,0.0,49511.0,49511.0,0.0,1.0
Strict C1 reservation,5124,2,9081,9081,0,9081,0,3390,539,5152,5.517343904856293,5.517343904856293,0.5673383988547517,0.4410958904109589,0.0,50103.0,50103.0,0.0,1.0
Strict C1 reservation,5125,1,9234,9234,0,9234,0,3344,586,5304,5.432423651721897,5.432423651721897,0.5743989603638726,0.4541095890410959,0.0,50163.0,50163.0,0.0,1.0
Strict C1 reservation,5125,2,9040,9040,0,9040,0,3246,648,5146,5.5882743362831855,5.5882743362831855,0.5692477876106194,0.4405821917808219,0.0,50518.0,50518.0,0.0,1.0
Strict C1 reservation,5126,1,9120,9120,0,9120,0,3212,560,5348,5.3946271929824565,5.3946271929824565,0.5864035087719298,0.45787671232876714,0.0,49199.0,49199.0,0.0,1.0
Strict C1 reservation,5126,2,9175,9175,0,9175,0,3389,588,5198,5.616566757493188,5.616566757493188,0.5665395095367848,0.44503424657534246,0.0,51532.0,51532.0,0.0,1.0
Strict C1 reservation,5127,1,9247,9247,0,9247,0,3305,627,5315,5.45701308532497,5.45701308532497,0.5747810100573159,0.4550513698630137,0.0,50461.0,50461.0,0.0,1.0
Strict C1 reservation,5127,2,9060,9060,0,9060,0,3338,549,5173,5.537969094922738,5.537969094922738,0.5709713024282561,0.44289383561643836,0.0,50174.0,50174.0,0.0,1.0
Strict C1 reservation,5128,1,9155,9155,0,9155,0,3302,467,5386,5.317531403604588,5.317531403604588,0.5883123975969415,0.46113013698630134,0.0,48682.0,48682.0,0.0,1.0
Strict C1 reservation,5128,2,9064,9064,0,9064,0,3237,534,5293,5.45432480141218,5.45432480141218,0.5839585172109444,0.45316780821917807,0.0,49438.0,49438.0,0.0,1.0
Strict C1 reservation,5129,1,9223,9223,0,9223,0,3296,540,5387,5.351078824677437,5.351078824677437,0.5840832700856554,0.46121575342465754,0.0,49353.0,49353.0,0.0,1.0
Strict C1 reservation,5129,2,9077,9077,0,9077,0,3314,554,5209,5.493885645036906,5.493885645036906,0.5738680180676435,0.4459760273972603,0.0,49868.0,49868.0,0.0,1.0
Strict C1 reservation,5130,1,9013,9013,0,9013,0,3235,574,5204,5.449905691778542,5.449905691778542,0.5773882170198602,0.44554794520547947,0.0,49120.0,49120.0,0.0,1.0
Strict C1 reservation,5130,2,9283,9283,0,9283,0,3350,611,5322,5.632769578799957,5.632769578799957,0.573306043304966,0.45565068493150684,0.0,52289.0,52289.0,0.0,1.0
Class-1-first backfill reservation,5101,1,9092,6849,2243,9092,0,3202,594,3053,7.449992699664184,8.103497580290366,0.33578970523537177,0.26138698630136986,0.2467003959524857,51025.0,73677.0,0.0,0.7532996040475143
Class-1-first backfill reservation,5101,2,9031,9031,0,9031,0,992,0,8039,2.0679880411914517,2.0679880411914517,0.890156128889381,0.6882705479452055,0.0,18676.0,18676.0,0.0,1.0
Class-1-first backfill reservation,5102,1,9117,6779,2338,9117,0,3119,574,3086,7.4565570143088955,8.142700449709334,0.3384885378962378,0.2642123287671233,0.2564440057036306,50548.0,74237.0,0.0,0.7435559942963694
Class-1-first backfill reservation,5102,2,9212,9212,0,9212,0,1146,0,8066,2.3369518019973947,2.3369518019973947,0.8755970473295701,0.6905821917808219,0.0,21528.0,21528.0,0.0,1.0
Class-1-first backfill reservation,5103,1,9091,6815,2276,9091,0,3156,615,3044,7.393103448275862,8.069519304806953,0.33483665163348364,0.2606164383561644,0.25035749642503574,50384.0,73360.0,0.0,0.7496425035749642
Class-1-first backfill reservation,5103,2,9011,9011,0,9011,0,986,0,8025,2.1156364443457996,2.1156364443457996,0.890578182221729,0.6870719178082192,0.0,19064.0,19064.0,0.0,1.0
Class-1-first backfill reservation,5104,1,9045,6816,2229,9045,0,3164,562,3089,7.396713615023474,8.060696517412936,0.3415146489773355,0.2644691780821918,0.24643449419568822,50416.0,72909.0,0.0,0.7535655058043118
