config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+balk,+Balking gap,18,0.9263013698630113,0.7822709618460133,6848,8410.0,9.848010360254298,9.845670550605437,0.029700708247658213,8754,8494,8754,260,0,1099,547,0,0.7904856293359762,0.7710973308169318,0.019388298519044445
+balk,+Balking gap,19,0.9193150684931486,0.7788910395081408,6841,8353.0,9.817775687749824,9.83103723101446,0.03153819879312308,8783,8506,8783,277,0,1065,600,0,0.7888888888888889,0.7648508075554339,0.024038081333454975
+balk,+Balking gap,20,0.9236986301369842,0.7842481549815498,6801,8378.0,9.438838648262733,9.441420664206642,0.030904059040590407,8672,8404,8672,268,0,1039,564,0,0.7930622009569378,0.7721553610503282,0.020906839906609576
+balk,+Balking gap,21,0.9230136986301343,0.7656338028169014,6795,8376.0,11.033344992421593,11.064225352112675,0.03357746478873239,8875,8577,8875,298,0,1217,565,0,0.7778421154217332,0.7485110990795886,0.029331016342144633
+balk,+Balking gap,22,0.9201369863013678,0.7675553034600113,6766,8362.0,11.049168812924373,11.059217243335224,0.030969937606352808,8815,8542,8815,273,0,1182,594,0,0.776790886271481,0.7544004400440044,0.022390446227476546
+balk,+Balking gap,23,0.9236986301369844,0.7749773960216998,6857,8400.0,10.875874125874127,10.880764014466546,0.030289330922242313,8848,8580,8848,268,0,1162,561,0,0.7824332116086873,0.7643347050754458,0.01809850653324152
+balk,+Balking gap,24,0.9178082191780803,0.7645520691223283,6725,8332.0,10.98638817179066,10.982264665757162,0.031150522964984082,8796,8522,8796,274,0,1187,610,0,0.7708211429685976,0.7557917688743527,0.015029374094244874
+balk,+Balking gap,25,0.9231506849315051,0.7768205835056283,6763,8396.0,10.100390209294076,10.097518952446588,0.028600964851826328,8706,8457,8706,249,0,1135,559,0,0.7839810613533241,0.7668408028594996,0.0171402584938245
+balk,+Balking gap,26,0.916438356164381,0.7580122836404244,6788,8350.0,11.008762827164764,11.01105527638191,0.03149078726968174,8955,8673,8955,282,0,1267,618,0,0.7612975810988186,0.7531750414135836,0.00812253968523502
+balk,+Balking gap,27,0.9245205479452038,0.7600442722744881,6867,8416.0,11.397914757103575,11.42578859988932,0.03397897066961815,9035,8728,9035,307,0,1304,557,0,0.7646616541353384,0.7534320323014805,0.011229621833857895
+balk,+Balking gap,28,0.9263013698630117,0.7745743473325766,6824,8417.0,10.415306960910906,10.424631101021566,0.033030646992054484,8810,8519,8810,291,0,1143,552,0,0.7812197483059051,0.7651577503429355,0.016061997962969587
+balk,+Balking gap,29,0.9204109589041074,0.7825986879963172,6800,8382.0,9.558959195742164,9.564621935780872,0.026930601910461503,8689,8455,8689,234,0,1066,589,0,0.7844536981955186,0.78003291278113,0.004420785414388617
+balk,+Balking gap,30,0.9215068493150667,0.775705186533212,6820,8380.0,10.565054893716422,10.569153776160146,0.02616014558689718,8792,8562,8792,230,0,1158,584,0,0.783826121010378,0.7644504748982361,0.01937564611214182
+noshow,+No-show gap,1,0.9331506849315049,0.7850467289719626,6888,8506.0,10.366834760173566,10.360724868930932,0.02815135627991794,8774,8527,8774,247,0,1150,489,0,0.8336235248597408,0.7153952843273231,0.11822824053241765
+noshow,+No-show gap,2,0.929178082191779,0.7858049624927871,6809,8447.0,10.39485285356845,10.389728793998845,0.03139065204847086,8665,8393,8665,272,0,1061,523,0,0.8381422924901186,0.7123439667128988,0.12579832577721983
+noshow,+No-show gap,3,0.9299999999999979,0.7965082668516591,6889,8462.0,9.134082217973232,9.135738235634177,0.03248930512197942,8649,8368,8649,281,0,967,512,0,0.8461992910594722,0.7258471016521982,0.12035218940727399
+noshow,+No-show gap,4,0.9284931506849287,0.7791383219954648,6872,8444.0,11.113845794937594,11.113718820861678,0.02800453514739229,8820,8573,8820,247,0,1169,532,0,0.8291585127201565,0.7102425876010782,0.11891592511907834
