comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,-0.002856164383561677,-0.0055140410958903615,-0.00020547945205491108,inconclusive,0.0005378755714535721,-0.0014263119510142374,0.002708254537466368,inconclusive,BG00024,release
both_flexible_vs_horizon_only,10,-8.904109589026321e-05,-0.00250017123287638,0.0025138698630139534,inconclusive,0.06683328521426529,0.06311569937923549,0.07024287546930774,supported,BG00024,release
both_flexible_vs_baseline,10,-0.0023424657534245274,-0.006054794520547716,0.0015890410958904876,inconclusive,0.0024180147703636522,0.00024283949927693337,0.004305321198406483,inconclusive,BG00025,release
both_flexible_vs_reservation_only,10,-0.002219178082191653,-0.006109589041095687,0.0014931506849314997,inconclusive,0.0017065080297378854,-0.00017317166634272792,0.0035556635908668634,inconclusive,BG00025,release
both_flexible_vs_horizon_only,10,-0.0023424657534245274,-0.006109589041095753,0.001479794520547861,inconclusive,0.0024180147703636522,0.0003975350972458528,0.004260462547264497,inconclusive,BG00025,release
both_flexible_vs_baseline,10,0.0373607305936086,0.03260251141552659,0.04190890410959034,supported,0.17061851817966261,0.1678824282290604,0.17322398944430512,supported,BG00026,release
both_flexible_vs_reservation_only,10,0.0010319634703196078,-0.0056164383561647215,0.006429223744292485,inconclusive,0.0021736160338471588,-0.0008710337603385818,0.00513356456093128,inconclusive,BG00026,release
both_flexible_vs_horizon_only,10,0.0373607305936086,0.03257488584475012,0.042055022831052176,supported,0.17061851817966261,0.16781581319143588,0.17315900081098817,supported,BG00026,release
both_flexible_vs_baseline,10,0.0011986301369861009,-0.00011643835616427678,0.0024246575342461245,inconclusive,0.09026625715588546,0.08917786527979032,0.09143376341572441,supported,BG00027,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00027,release
