scenario,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
"A: Pre-threshold gap
(0.30 gap below threshold)",55,1,18305,12482,5823,18305,0,5927,1058,5494,7.665518346418843,8.538432122370937,0.3001365747063644,0.4703767123287671,0.318109806063917,95681.0,156296.0
"A: Pre-threshold gap
(0.30 gap below threshold)",55,2,17848,10170,7678,17848,0,5071,874,4224,8.13795476892822,8.56958762886598,0.236665172568355,0.36164383561643837,0.43018825638727026,82763.0,152950.0
"A: Pre-threshold gap
(0.30 gap below threshold)",56,1,18236,12347,5889,18236,0,5788,989,5570,7.658945492832267,8.555933318710244,0.30543978942750605,0.4768835616438356,0.3229326606711998,94565.0,156026.0
"A: Pre-threshold gap
(0.30 gap below threshold)",56,2,18154,10431,7723,18154,0,5293,899,4239,8.154060013421532,8.595846645367413,0.23350225845543682,0.3629280821917808,0.42541588630604826,85055.0,156049.0
"A: Pre-threshold gap
(0.30 gap below threshold)",57,1,18208,12245,5963,18208,0,5809,971,5462,7.731890567578604,8.628514938488577,0.2999780316344464,0.46763698630136985,0.3274934094903339,94677.0,157108.0
"A: Pre-threshold gap
(0.30 gap below threshold)",57,2,18272,10463,7809,18272,0,5219,868,4371,8.148332218293033,8.612138791593695,0.23921847635726795,0.3742294520547945,0.4273752189141856,85256.0,157361.0
"A: Pre-threshold gap
(0.30 gap below threshold)",58,1,18099,12237,5862,18099,0,5812,987,5438,7.702132875704829,8.592629427040167,0.3004585888723134,0.46558219178082194,0.3238852975302503,94251.0,155518.0
"A: Pre-threshold gap
(0.30 gap below threshold)",58,2,18186,10344,7842,18186,0,5105,896,4343,8.179427687548337,8.602661387880788,0.2388100736830529,0.37183219178082194,0.43121082151105244,84608.0,156448.0
"A: Pre-threshold gap
(0.30 gap below threshold)",59,1,18019,12181,5838,18019,0,5755,981,5445,7.680814383055578,8.580276374937567,0.30218103113380324,0.4661815068493151,0.3239913424718353,93560.0,154608.0
"A: Pre-threshold gap
(0.30 gap below threshold)",59,2,18643,10581,8062,18643,0,5316,837,4427,8.115395520272186,8.554524486402403,0.2374617819020544,0.37902397260273973,0.43244113071930484,85869.0,159482.0
"A: Pre-threshold gap
(0.30 gap below threshold)",60,1,18311,12360,5951,18311,0,5868,960,5532,7.711003236245955,8.636284200753645,0.3021134836983234,0.47363013698630135,0.3249959041013598,95308.0,158139.0
"A: Pre-threshold gap
(0.30 gap below threshold)",60,2,18491,10502,7989,18491,0,5315,897,4288,8.287373833555513,8.66502622897626,0.23189659834514087,0.36712328767123287,0.43204802336271697,87034.0,160225.0
"A: Pre-threshold gap
(0.30 gap below threshold)",61,1,18344,12434,5910,18344,0,6015,995,5424,7.775856522438475,8.670573484518098,0.29568251199302226,0.4643835616438356,0.32217618839947665,96685.0,159053.0
"A: Pre-threshold gap
(0.30 gap below threshold)",61,2,18325,10346,7979,18325,0,5113,846,4387,8.213125845737483,8.652769440654843,0.23939972714870394,0.37559931506849314,0.4354160982264666,84973.0,158562.0
"A: Pre-threshold gap
(0.30 gap below threshold)",62,1,18155,12430,5725,18155,0,5844,1004,5582,7.620836685438455,8.494904984852658,0.30746350867529604,0.47791095890410956,0.3153401266868631,94727.0,154225.0
"A: Pre-threshold gap
(0.30 gap below threshold)",62,2,17929,10203,7726,17929,0,5112,892,4199,8.126923453886112,8.524959562719616,0.23420157287076804,0.35950342465753427,0.4309219699927492,82919.0,152844.0
"A: Pre-threshold gap
(0.30 gap below threshold)",63,1,18075,12098,5977,18075,0,5670,1010,5416,7.795751363861795,8.684647302904564,0.29964038727524206,0.4636986301369863,0.3306777316735823,94313.0,156975.0
"A: Pre-threshold gap
(0.30 gap below threshold)",63,2,18215,10375,7840,18215,0,5128,916,4329,8.14698795180723,8.633324183365358,0.23766126818556135,0.3706335616438356,0.4304144935492726,84525.0,157256.0
"A: Pre-threshold gap
(0.30 gap below threshold)",64,1,18390,12403,5987,18390,0,5826,986,5590,7.6687898089171975,8.557966286025014,0.3039695486677542,0.4785958904109589,0.3255573681348559,95116.0,157381.0
