class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,14,0.9184075342465754,0.2934154688569473,10717,11924.0,8.336116198832901,9.310965092402464,0.3572347707049966,36525,23477,36525,13048,0,11806,949,5
0.0,15,0.9174657534246575,0.2925010244502117,10707,11911.0,8.35183859146624,9.31217046851523,0.35142740062832944,36605,23741,36605,12864,0,12070,953,11
0.0,16,0.9170376712328767,0.2906477556787306,10697,11913.0,8.426293139819425,9.410634713618085,0.3559939137050321,36804,23702,36804,13102,0,12037,961,7
0.0,17,0.9195205479452054,0.29470444365055376,10724,11946.0,8.182179657103767,9.133391959108522,0.3572508175547556,36389,23389,36389,13000,0,11704,943,18
0.0,18,0.925,0.29581588813178994,10810,12002.0,8.186201906707526,9.149002544947049,0.35703144241031115,36543,23496,36543,13047,0,11802,871,13
0.0,19,0.9195205479452054,0.2905783960808726,10736,11946.0,8.455068053089864,9.431320540233306,0.3596773757003275,36947,23658,36947,13289,0,11974,931,17
0.0,20,0.9213184931506849,0.29551132463967056,10764,11970.0,8.321171941830624,9.279231297185998,0.3581331503088538,36425,23380,36425,13045,0,11693,914,9
0.0,21,0.920804794520548,0.2959003746969363,10740,11958.0,8.354588134869825,9.310750495922417,0.3544743222393652,36296,23430,36296,12866,0,11771,919,0
0.0,22,0.9196917808219178,0.29397590361445786,10736,11940.0,8.350851911502925,9.303203723986856,0.3539430449069003,36520,23594,36520,12926,0,11902,935,21
0.0,23,0.9220890410958904,0.29302109773738366,10736,11966.0,8.388963604269984,9.347826086956522,0.3505827124102732,36639,23794,36639,12845,0,12147,905,6
0.0,24,0.9252568493150685,0.2945818996122126,10787,12005.0,8.410423452768729,9.381779452728166,0.35444317002567044,36618,23639,36618,12979,0,11963,868,21
0.0,25,0.9173801369863014,0.29146261834802484,10713,11909.0,8.343934189882543,9.311894656654696,0.35839046686255305,36756,23583,36756,13173,0,11887,971,12
0.0,26,0.919777397260274,0.29620846546256724,10742,11953.0,8.263442923542707,9.208382738177306,0.35334344409209983,36265,23451,36265,12814,0,11762,938,9
0.0,27,0.920804794520548,0.29123655329783765,10721,11944.0,8.479319969550875,9.465554710420514,0.35765511246332715,36812,23646,36812,13166,0,11997,916,12
0.0,28,0.920804794520548,0.2942076920974223,10763,11942.0,8.317740362186692,9.284777082251319,0.3554656534455895,36583,23579,36583,13004,0,11885,921,10
0.0,29,0.9201198630136986,0.2932495217272479,10730,11940.0,8.330947816826411,9.292402295709211,0.35843126537305275,36590,23475,36590,13115,0,11804,928,13
0.0,30,0.9215753424657535,0.29583619623471213,10764,11970.0,8.420452117430878,9.381998076130273,0.35685035041912877,36385,23401,36385,12984,0,11715,904,18
0.0,31,0.9222602739726027,0.2964085885174058,10754,11978.0,8.36072178646436,9.318817011658995,0.3569361373721783,36281,23331,36281,12950,0,11673,899,5
0.0,32,0.9237157534246575,0.2947146687093068,10773,12004.0,8.434784460725847,9.394266017398916,0.35777206324889205,36554,23476,36554,13078,0,11793,899,11
0.0,33,0.9193493150684932,0.29082020640956,10708,11937.0,8.39309964352402,9.359125475285172,0.3600217273221076,36820,23564,36820,13256,0,11891,947,18
0.0,34,0.9218321917808219,0.2918202515177797,10767,11972.0,8.498249462184164,9.471731352992194,0.35746422376409365,36896,23707,36896,13189,0,12007,916,17
0.0,35,0.9196061643835617,0.29283438189394556,10752,11956.0,8.426070368800339,9.400250565133318,0.35751831576653864,36717,23590,36717,13127,0,11894,928,16
0.0,36,0.9209760273972603,0.2966342310554897,10761,11959.0,8.071263778518329,9.006753590429197,0.3547978057722524,36277,23406,36277,12871,0,11718,912,15
0.0,37,0.9201198630136986,0.2917312029564414,10736,11953.0,8.382881355932204,9.364256406075922,0.35871307844895517,36801,23600,36801,13201,0,11927,924,13
0.0,38,0.9227739726027397,0.29302122789328827,10753,11984.0,8.384599003364709,9.362018693626181,0.3601929313022863,36697,23479,36697,13218,0,11816,906,4
0.0,39,0.9202910958904109,0.29420614946930734,10755,11957.0,8.360324747088328,9.318907976802713,0.3564394353868038,36556,23526,36556,13030,0,11841,921,9
0.0,40,0.9190924657534246,0.29293921777341086,10733,11936.0,8.42068877224427,9.39943775758072,0.36043560140833536,36639,23433,36639,13206,0,11740,940,20
0.0,41,0.9196917808219178,0.29402412280701756,10726,11947.0,8.2776740237691,9.236842105263158,0.3541666666666667,36480,23560,36480,12920,0,11884,936,14
0.0,42,0.9196061643835617,0.2963668488763735,10735,11949.0,8.240453102205441,9.20214234443156,0.3565788747170228,36222,23306,36222,12916,0,11640,926,5
0.0,43,0.9231164383561644,0.2954689088560987,10753,11989.0,8.36220071319409,9.313109663946364,0.352732668370291,36393,23556,36393,12837,0,11877,899,27
0.0,44,0.9227739726027397,0.2943795062267861,10779,11986.0,8.272516346762286,9.232220887043916,0.3526054183963295,36616,23705,36616,12911,0,12014,905,7
