class1_xi_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,71,2,18054,11647,6407,18054,0,5860,908,4872,8.3124409719241,9.26387504154204,0.2698570953805251,0.41712328767123286,0.3548798050293564,96815.0,167250.0
0.0,72,1,18549,11884,6665,18549,0,6006,0,5869,8.417704476607202,9.393821769367621,0.31640519704566283,0.5024828767123287,0.3593185616475282,100036.0,174246.0
0.0,72,2,18407,11753,6654,18407,0,5952,921,4873,8.41912703139624,9.400717118487531,0.26473624164719944,0.41720890410958905,0.3614929103058619,98950.0,173039.0
0.0,73,1,18191,11769,6422,18191,0,5864,0,5896,8.191180219219985,9.141608487713704,0.32411632125776485,0.5047945205479452,0.35303171898191416,96402.0,166295.0
0.0,73,2,18188,11645,6543,18188,0,5869,887,4880,8.195878059252898,9.158950956674731,0.2683087750164944,0.4178082191780822,0.35974268748625465,95441.0,166583.0
0.0,74,1,18151,11752,6399,18151,0,5871,0,5878,8.251786929884275,9.219657319155969,0.32383890694727563,0.5032534246575342,0.3525425596385874,96975.0,167346.0
0.0,74,2,18347,11852,6495,18347,0,6051,913,4877,8.311677354033074,9.268000218019294,0.2658200250722189,0.4175513698630137,0.35400882978143566,98510.0,170040.0
0.0,75,1,18285,11831,6454,18285,0,6010,0,5817,8.479841095427266,9.462236806125238,0.318129614438064,0.49803082191780823,0.35296691277003006,100325.0,173017.0
0.0,75,2,18443,12001,6442,18443,0,6158,919,4917,8.485626197816849,9.448625494767663,0.2666052160711381,0.42097602739726026,0.34929241446619314,101836.0,174261.0
0.0,76,1,18433,11897,6536,18433,0,6037,0,5855,8.451122131629823,9.453317419844844,0.31763684695925787,0.5012842465753424,0.3545814571692074,100543.0,174253.0
0.0,76,2,18262,11925,6337,18262,0,6100,975,4842,8.542054507337527,9.49178622275764,0.26514072938341915,0.41455479452054794,0.3470047092322856,101864.0,173339.0
0.0,77,1,18421,11908,6513,18421,0,6031,0,5870,8.367484044339939,9.322240920688344,0.31865805330872377,0.502568493150685,0.35356386732533523,99640.0,171725.0
0.0,77,2,18176,11652,6524,18176,0,5849,918,4871,8.33710950909715,9.31987235915493,0.2679907570422535,0.4170376712328767,0.35893485915492956,97144.0,169398.0
0.0,78,1,18397,11868,6529,18397,0,6025,0,5837,8.40428041793057,9.374463227700168,0.31727999130292983,0.4997431506849315,0.3548948198075773,99742.0,172462.0
0.0,78,2,18303,11882,6421,18303,0,6029,920,4923,8.393031476182461,9.353657870294487,0.2689722996230126,0.42148972602739726,0.3508168059880894,99726.0,171200.0
0.0,79,1,18495,11869,6626,18495,0,6065,0,5796,8.37585306260005,9.35323060286564,0.3133819951338199,0.49623287671232874,0.3582589889159232,99413.0,172988.0
0.0,79,2,18289,11725,6564,18289,0,5848,928,4944,8.344392324093816,9.326261687353053,0.27032642572037835,0.4232876712328767,0.3589042593908907,97838.0,170568.0
0.0,80,1,18195,11646,6549,18195,0,5785,0,5858,8.36853855400996,9.35377851057983,0.32195658147842815,0.501541095890411,0.3599340478153339,97460.0,170192.0
0.0,80,2,18245,11855,6390,18245,0,6021,936,4893,8.444706874736399,9.376157851466155,0.2681830638531104,0.41892123287671235,0.3502329405316525,100112.0,171068.0
0.0,81,1,18068,11659,6408,18067,1,5753,0,5905,8.297538382365554,9.258316267227542,0.3268208988266549,0.5055650684931506,0.35467980295566504,96741.0,167270.0
0.0,81,2,18079,11648,6429,18077,2,5887,904,4856,8.325034340659341,9.28157326990098,0.2685989269317993,0.41575342465753423,0.3556452951264037,96970.0,167783.0
