seed,step_index,gap_index,within_step,post_gap,served_base,served_step_up,served_gap_up,delta_step,delta_gap,abs_delta_step,abs_delta_gap,effect_difference,gap_effect_larger
2,0,3,0.0,0.3,0.18892131490556688,0.20598736610821203,0.1856839121190645,0.01706605120264515,-0.0032374027865023913,0.01706605120264515,0.0032374027865023913,-0.013828648416142758,False
2,0,4,0.0,0.4,0.1856839121190645,0.1944098369535778,0.18380441396094918,0.008725924834513316,-0.0018794981581153059,0.008725924834513316,0.0018794981581153059,-0.00684642667639801,False
2,1,0,0.1,0.0,0.2208839718785765,0.2355121844845445,0.21524984849319598,0.014628212605968,-0.005634123385380524,0.014628212605968,0.005634123385380524,-0.008994089220587476,False
2,1,1,0.1,0.1,0.21524984849319598,0.22714636140637776,0.21293254489706526,0.011896512913181778,-0.002317303596130721,0.011896512913181778,0.002317303596130721,-0.009579209317051057,False
2,1,2,0.1,0.2,0.21293254489706526,0.22078064870808137,0.20598736610821203,0.00784810381101611,-0.006945178788853229,0.00784810381101611,0.006945178788853229,-0.0009029250221628815,False
2,1,3,0.1,0.3,0.20598736610821203,0.2153136030409992,0.1944098369535778,0.009326236932787169,-0.011577529154634225,0.009326236932787169,0.011577529154634225,0.0022512922218470566,True
2,1,4,0.1,0.4,0.1944098369535778,0.21601571023347152,0.19500685871056242,0.021605873279893717,0.000597021756984617,0.021605873279893717,0.000597021756984617,-0.0210088515229091,False
2,2,0,0.2,0.0,0.2355121844845445,0.25251916757940857,0.22714636140637776,0.017006983094864064,-0.008365823078166745,0.017006983094864064,0.008365823078166745,-0.008641160016697319,False
2,2,1,0.2,0.1,0.22714636140637776,0.24249587685541507,0.22078064870808137,0.015349515449037315,-0.0063657126982963885,0.015349515449037315,0.0063657126982963885,-0.008983802750740927,False
2,2,2,0.2,0.2,0.22078064870808137,0.23453565275384872,0.2153136030409992,0.01375500404576735,-0.005467045667082171,0.01375500404576735,0.005467045667082171,-0.008287958378685178,False
2,2,3,0.2,0.3,0.2153136030409992,0.2255358807082945,0.21601571023347152,0.010222277667295304,0.0007021071924723232,0.010222277667295304,0.0007021071924723232,-0.009520170474822981,False
2,2,4,0.2,0.4,0.21601571023347152,0.22423632091305806,0.2070999453850355,0.008220610679586543,-0.008915764848436009,0.008220610679586543,0.008915764848436009,0.0006951541688494656,True
2,3,0,0.3,0.0,0.25251916757940857,0.2581140350877193,0.24249587685541507,0.00559486750831073,-0.010023290723993494,0.00559486750831073,0.010023290723993494,0.004428423215682764,True
2,3,1,0.3,0.1,0.24249587685541507,0.2503238341968912,0.23453565275384872,0.007827957341476122,-0.007960224101566354,0.007827957341476122,0.007960224101566354,0.00013226676009023275,True
2,3,2,0.3,0.2,0.23453565275384872,0.24473425733929935,0.2255358807082945,0.010198604585450632,-0.008999772045554216,0.010198604585450632,0.008999772045554216,-0.0011988325398964161,False
2,3,3,0.3,0.3,0.2255358807082945,0.2369547096415671,0.22423632091305806,0.01141882893327259,-0.001299559795236438,0.01141882893327259,0.001299559795236438,-0.010119269138036152,False
2,3,4,0.3,0.4,0.22423632091305806,0.2334018556586477,0.22162905888827739,0.009165534745589649,-0.0026072620247806766,0.009165534745589649,0.0026072620247806766,-0.006558272720808972,False
2,4,0,0.4,0.0,0.2581140350877193,0.2710495963091119,0.2503238341968912,0.01293556122139261,-0.007790200890828103,0.01293556122139261,0.007790200890828103,-0.005145360330564508,False
2,4,1,0.4,0.1,0.2503238341968912,0.2562999724290047,0.24473425733929935,0.005976138232113515,-0.005589576857591844,0.005976138232113515,0.005589576857591844,-0.00038656137452167116,False
2,4,2,0.4,0.2,0.24473425733929935,0.25061064973131414,0.2369547096415671,0.00587639239201479,-0.007779547697732259,0.00587639239201479,0.007779547697732259,0.0019031553057174688,True
2,4,3,0.4,0.3,0.2369547096415671,0.24833278670602382,0.2334018556586477,0.011378077064456732,-0.0035528539829193795,0.011378077064456732,0.0035528539829193795,-0.007825223081537352,False
2,4,4,0.4,0.4,0.2334018556586477,0.24624132086818654,0.22662640680757618,0.012839465209538825,-0.006775448851071536,0.012839465209538825,0.006775448851071536,-0.006064016358467289,False
3,0,0,0.0,0.0,0.20509039270304222,0.22275658541917148,0.20112657388999336,0.017666192716129264,-0.003963818813048858,0.017666192716129264,0.003963818813048858,-0.013702373903080406,False
