study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,2.0,0.05,0.0,0.7,24,False,service-rate guardrail,0.2077397260273972
B: wait-adjusted,2.0,0.05,0.02,0.45,16,True,none,0.011794769419275486
B: wait-adjusted,2.0,0.05,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.05,0.02,0.65,24,False,service-rate guardrail,0.20976584024603634
B: wait-adjusted,2.0,0.05,0.02,0.7,24,False,service-rate guardrail,0.20976584024603634
B: wait-adjusted,2.0,0.05,0.05,0.45,16,True,none,0.012149594781064987
B: wait-adjusted,2.0,0.05,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.05,0.05,0.65,24,False,service-rate guardrail,0.21280501157399492
B: wait-adjusted,2.0,0.05,0.05,0.7,24,False,service-rate guardrail,0.21280501157399492
B: wait-adjusted,2.0,0.05,0.1,0.45,16,True,none,0.01274097038404789
B: wait-adjusted,2.0,0.05,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.05,0.1,0.65,24,False,service-rate guardrail,0.21787029712059286
B: wait-adjusted,2.0,0.05,0.1,0.7,24,False,service-rate guardrail,0.21787029712059286
B: wait-adjusted,2.0,0.1,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.0,0.65,24,False,service-rate guardrail,0.17023972602739734
B: wait-adjusted,2.0,0.1,0.0,0.7,24,False,service-rate guardrail,0.17023972602739734
B: wait-adjusted,2.0,0.1,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.02,0.65,24,False,service-rate guardrail,0.17226584024603647
B: wait-adjusted,2.0,0.1,0.02,0.7,24,False,service-rate guardrail,0.17226584024603647
B: wait-adjusted,2.0,0.1,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.05,0.65,24,False,service-rate guardrail,0.17530501157399506
B: wait-adjusted,2.0,0.1,0.05,0.7,24,False,service-rate guardrail,0.17530501157399506
B: wait-adjusted,2.0,0.1,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.1,0.1,0.65,24,False,service-rate guardrail,0.180370297120593
B: wait-adjusted,2.0,0.1,0.1,0.7,24,False,service-rate guardrail,0.180370297120593
B: wait-adjusted,3.0,0.0,0.0,0.45,16,True,none,0.07327054794520542
B: wait-adjusted,3.0,0.0,0.0,0.55,12,True,none,0.013784246575342518
B: wait-adjusted,3.0,0.0,0.0,0.65,24,False,service-rate guardrail,0.4919349315068494
B: wait-adjusted,3.0,0.0,0.0,0.7,24,False,service-rate guardrail,0.4919349315068494
B: wait-adjusted,3.0,0.0,0.02,0.45,16,True,none,0.07368271395360226
B: wait-adjusted,3.0,0.0,0.02,0.55,12,True,none,0.013871815534335497
B: wait-adjusted,3.0,0.0,0.02,0.65,24,False,service-rate guardrail,0.49491345069113885
B: wait-adjusted,3.0,0.0,0.02,0.7,24,False,service-rate guardrail,0.49491345069113885
B: wait-adjusted,3.0,0.0,0.05,0.45,16,True,none,0.07430096296619752
B: wait-adjusted,3.0,0.0,0.05,0.55,12,True,none,0.014003168972824876
B: wait-adjusted,3.0,0.0,0.05,0.65,24,False,service-rate guardrail,0.49938122946757274
B: wait-adjusted,3.0,0.0,0.05,0.7,24,False,service-rate guardrail,0.49938122946757274
B: wait-adjusted,3.0,0.0,0.1,0.45,16,True,none,0.07533137798718958
B: wait-adjusted,3.0,0.0,0.1,0.55,12,True,none,0.014222091370307144
B: wait-adjusted,3.0,0.0,0.1,0.65,24,False,service-rate guardrail,0.5068275274282958
B: wait-adjusted,3.0,0.0,0.1,0.7,24,False,service-rate guardrail,0.5068275274282958
B: wait-adjusted,3.0,0.02,0.0,0.45,16,True,none,0.06327054794520563
B: wait-adjusted,3.0,0.02,0.0,0.55,12,True,none,0.006284246575342678
