comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,strict
both_flexible_vs_baseline,10,-0.01671232876712263,-0.019826712328766382,-0.013634474885844055,contradicted,0.029615635103974393,0.024475080403146117,0.03446427609752056,supported,BG00043,strict
both_flexible_vs_reservation_only,10,0.018666666666666398,0.014766666666666272,0.022548173515981304,supported,0.0031262029158140247,-0.0020724157303682084,0.006904841874621186,inconclusive,BG00043,strict
both_flexible_vs_horizon_only,10,-0.01709589041095838,-0.020091552511415426,-0.01441095890410934,contradicted,0.024007848776006868,0.020421556149374288,0.0280354895486438,supported,BG00043,strict
both_flexible_vs_baseline,10,0.001691780821917488,0.00030821917808204616,0.0031303082191776297,inconclusive,0.003495325089935719,-0.0009913927645647954,0.007597622722043066,inconclusive,BG00044,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00044,strict
both_flexible_vs_horizon_only,10,0.001691780821917488,0.00022602739726001854,0.0030549657534242295,inconclusive,0.003495325089935719,-0.0008260870337013889,0.007376511158330065,inconclusive,BG00044,strict
both_flexible_vs_baseline,10,-0.01841780821917831,-0.02109589041095905,-0.015869691780822107,contradicted,0.036608011688017236,0.03403637699497179,0.039824471347905885,supported,BG00045,strict
both_flexible_vs_reservation_only,10,0.016493150684931568,0.013027054794520545,0.019808219178082214,supported,0.0018285851997434488,-0.001099669442673364,0.0052413165223988,inconclusive,BG00045,strict
both_flexible_vs_horizon_only,10,-0.01801369863013712,-0.01970547945205482,-0.01635582191780796,contradicted,0.03410227512375434,0.030670728797686436,0.03823991017100312,supported,BG00045,strict
both_flexible_vs_baseline,10,-0.0007397260273972028,-0.002827534246575325,0.0013591780821918832,inconclusive,0.0006529635167673686,-0.00035948894788558896,0.002012203771530008,inconclusive,BG00046,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00046,strict
both_flexible_vs_horizon_only,10,-0.0007397260273972028,-0.0027671232876712026,0.0013919178082192035,inconclusive,0.0006529635167673686,-0.00037618920419491686,0.0019499791366904332,inconclusive,BG00046,strict
both_flexible_vs_baseline,10,-0.015013698630136896,-0.01671232876712314,-0.013465753424657324,contradicted,0.026865950826436575,0.025316689851298174,0.028595675853753673,supported,BG00047,strict
