class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.05,2,9.180304442799876,0.08615791765112527,100,0.008615791765112527,0.016886951859620553,mean_offered_booking_delay
0.1,1,9.083747405216121,0.0827824060772658,100,0.00827824060772658,0.016225351591144098,mean_offered_booking_delay
0.1,2,9.087242204801493,0.08267001187516433,100,0.008267001187516432,0.01620332232753221,mean_offered_booking_delay
0.15,1,8.955680064331267,0.07817256425728886,100,0.007817256425728886,0.015321822594428616,mean_offered_booking_delay
0.15,2,8.959022366864513,0.07906269603014313,100,0.007906269603014313,0.015496288421908052,mean_offered_booking_delay
0.2,1,8.845624181220082,0.08705684509560516,100,0.008705684509560515,0.01706314163873861,mean_offered_booking_delay
0.2,2,8.848339093118408,0.08519843839376809,100,0.008519843839376809,0.016698893925178544,mean_offered_booking_delay
0.25,1,8.730274566471486,0.08291122338853996,100,0.008291122338853995,0.01625059978415383,mean_offered_booking_delay
0.25,2,8.731215376758506,0.07895421203549886,100,0.007895421203549887,0.015475025558957778,mean_offered_booking_delay
0.3,1,8.6022397734618,0.06752687952243433,100,0.006752687952243433,0.013235268386397128,mean_offered_booking_delay
0.3,2,8.601252279065541,0.0690564128699933,100,0.006905641286999329,0.013535056922518685,mean_offered_booking_delay
0.35,1,8.486703987039352,0.060337234647295554,100,0.006033723464729556,0.011826097990869928,mean_offered_booking_delay
0.35,2,8.484246489975256,0.06145505829264845,100,0.006145505829264845,0.012045191425359095,mean_offered_booking_delay
0.4,1,8.363552932142026,0.0634852800579711,100,0.00634852800579711,0.012443114891362336,mean_offered_booking_delay
0.4,2,8.362857345029834,0.055259547537481156,100,0.005525954753748116,0.010830871317346306,mean_offered_booking_delay
0.45,1,8.257493383106924,0.06107169680486539,100,0.0061071696804865395,0.011970052573753618,mean_offered_booking_delay
0.45,2,8.253178730128353,0.05442110160279277,100,0.005442110160279277,0.010666535914147382,mean_offered_booking_delay
0.5,1,8.132570473435942,0.05540474083896698,100,0.005540474083896698,0.010859329204437527,mean_offered_booking_delay
0.5,2,8.135969288784743,0.05599970625294014,100,0.005599970625294014,0.010975942425576266,mean_offered_booking_delay
0.0,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
0.0,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.05,1,0.26407659155960794,0.002965107757492551,100,0.00029651077574925514,0.00058116112046854,percent_serviced
0.05,2,0.2741104250190788,0.003031733157735383,100,0.0003031733157735383,0.000594219698916135,percent_serviced
0.1,1,0.25936526052154085,0.002798105795009735,100,0.0002798105795009735,0.0005484287358219081,percent_serviced
0.1,2,0.27793495147414365,0.00294844275509857,100,0.000294844275509857,0.0005778947799993197,percent_serviced
0.15,1,0.2543703409147383,0.0025640746943180405,100,0.00025640746943180403,0.0005025586400863359,percent_serviced
0.15,2,0.28336527964703684,0.0028448935188918074,100,0.00028448935188918074,0.0005575991297027943,percent_serviced
0.2,1,0.24848717456159938,0.0031353225730052906,100,0.0003135322573005291,0.000614523224309037,percent_serviced
0.2,2,0.2891670966997666,0.0030131538184970537,100,0.00030131538184970536,0.0005905781484254225,percent_serviced
0.25,1,0.24305770246333888,0.0025027661671655124,100,0.0002502766167165512,0.0004905421687644404,percent_serviced
0.25,2,0.2947735128387112,0.003000258265020891,100,0.0003000258265020891,0.0005880506199440946,percent_serviced
0.3,1,0.2363399529546279,0.0028990279685161234,100,0.00028990279685161234,0.0005682094818291602,percent_serviced
0.3,2,0.3013239692137829,0.003323012920432181,100,0.00033230129204321813,0.0006513105324047076,percent_serviced
0.35,1,0.2290178819779016,0.002638793578328361,100,0.0002638793578328361,0.0005172035413523587,percent_serviced
0.35,2,0.3086797565109618,0.0032992764280913587,100,0.0003299276428091359,0.0006466581799059063,percent_serviced
0.4,1,0.22176558250711065,0.0028660492259953317,100,0.00028660492259953316,0.0005617456482950849,percent_serviced
0.4,2,0.3159568235902826,0.003529050119265581,100,0.0003529050119265581,0.0006916938233760538,percent_serviced
0.45,1,0.21381983945141042,0.002451252005760238,100,0.0002451252005760238,0.00048044539312900664,percent_serviced
0.45,2,0.3239662274872474,0.0031912081084810627,100,0.00031912081084810626,0.0006254767892622883,percent_serviced
0.5,1,0.20460331506114776,0.002648897016105277,100,0.00026488970161052774,0.0005191838151566344,percent_serviced
0.5,2,0.33314476885074545,0.003818704478943338,100,0.0003818704478943338,0.0007484660778728943,percent_serviced
0.0,1,0.42071575342465756,0.00427048218565983,100,0.00042704821856598304,0.0008370145083893267,slot_utilization
0.0,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.05,1,0.4122688356164384,0.004812362715017943,100,0.0004812362715017943,0.0009432230921435169,slot_utilization
0.05,2,0.42816352739726027,0.004717463869985065,100,0.0004717463869985065,0.0009246229185170727,slot_utilization
0.1,1,0.40549571917808225,0.004288851867507582,100,0.0004288851867507582,0.0008406149660314861,slot_utilization
0.1,2,0.4348467465753425,0.004349243823020864,100,0.0004349243823020864,0.0008524517893120894,slot_utilization
0.15,1,0.39781335616438357,0.004187095229263618,100,0.0004187095229263618,0.0008206706649356691,slot_utilization
0.15,2,0.4420847602739726,0.004703175172721712,100,0.0004703175172721712,0.0009218223338534556,slot_utilization
0.2,1,0.38835102739726024,0.005038738360805974,100,0.0005038738360805974,0.0009875927187179708,slot_utilization
0.2,2,0.45198544520547945,0.004684187288586031,100,0.0004684187288586031,0.0009181007085628621,slot_utilization
0.25,1,0.3797183219178082,0.0036624799745361932,100,0.0003662479974536193,0.0007178460750090938,slot_utilization
0.25,2,0.4606583904109589,0.004186866664811458,100,0.00041868666648114575,0.0008206258663030456,slot_utilization
0.3,1,0.36938013698630134,0.0043350570202222135,100,0.0004335057020222213,0.0008496711759635538,slot_utilization
