class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,23,1,18143,9842,8301,18143,0,4790,837,4215,7.876346271083113,8.4731301328336,0.2323210053464146,0.3608732876712329,0.45753183045802787,77519.0,153728.0
3,23,2,18321,12679,5642,18321,0,6060,1067,5552,7.631437810552883,8.448392554991539,0.3030402270618416,0.47534246575342465,0.3079526226734349,96759.0,154783.0
3,24,1,18149,9926,8223,18149,0,4838,790,4298,7.886762039089261,8.475232795195328,0.23681745550719047,0.36797945205479454,0.45308281448013665,78284.0,153817.0
3,24,2,18102,12484,5618,18102,0,5903,1042,5539,7.682954181352131,8.489835377306376,0.3059882885868965,0.4742294520547945,0.3103524472433985,95914.0,153683.0
3,25,1,18307,10172,8135,18307,0,5020,838,4313,7.912504915454188,8.475501174414159,0.23559294259026603,0.36926369863013697,0.4443655432348282,80486.0,155161.0
3,25,2,17965,12426,5539,17965,0,5893,1007,5526,7.660872364397232,8.481269134428054,0.30759810743111604,0.4731164383561644,0.30832173671026997,95194.0,152366.0
3,26,1,18183,9972,8211,18183,0,4851,836,4283,7.93672282390694,8.514051586646868,0.23554968927019743,0.36669520547945206,0.45157564758290714,79145.0,154811.0
3,26,2,18270,12696,5574,18270,0,6127,1062,5506,7.672180214240706,8.485002736726875,0.301368363437329,0.4714041095890411,0.3050903119868637,97406.0,155021.0
3,27,1,18384,10109,8275,18384,0,4941,870,4298,8.190721139578594,8.745757180156659,0.23379025239338555,0.36797945205479454,0.45011966927763275,82800.0,160782.0
3,27,2,18411,12509,5902,18411,0,5991,1002,5515,7.806059637061316,8.679865297919722,0.299549182553908,0.4721746575342466,0.3205692249198849,97646.0,159805.0
3,28,1,18335,9981,8354,18335,0,4844,836,4298,7.949203486624587,8.5301881647123,0.2344150531769839,0.36797945205479454,0.45563130624488685,79341.0,156401.0
3,28,2,18291,12532,5759,18291,0,5984,999,5545,7.67235876157038,8.510196271390301,0.30315455688590015,0.4747431506849315,0.3148542999289268,96150.0,155660.0
3,29,1,18147,9907,8240,18147,0,4794,790,4323,7.952054103159382,8.531658125309969,0.23822119358571664,0.37011986301369865,0.45406954317518045,78781.0,154824.0
