class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
4,46,0.8404109589041096,0.2673631949369851,9801,10949.0,7.8802698888692895,8.673822903595395,0.38141742593703964,36658,22676,36658,13982,0,11025,1850,0
4,47,0.8429794520547945,0.2674554603563172,9833,10967.0,7.903678221751786,8.680184958520332,0.3832721338229294,36765,22674,36765,14091,0,11004,1837,0
4,48,0.8401541095890411,0.2679736777434945,9814,10943.0,7.948781349346521,8.72989651312017,0.3815908035933703,36623,22648,36623,13975,0,10966,1857,11
4,49,0.8357020547945205,0.26647188924992493,9759,10903.0,7.863993294512087,8.647352756464517,0.3810446986866177,36623,22668,36623,13955,0,10989,1919,1
4,50,0.8403253424657534,0.2706800077179636,9820,10947.0,7.895526327365504,8.656991648060862,0.37338405137958597,36279,22733,36279,13546,0,11042,1866,5
4,51,0.8353595890410959,0.26782823432569625,9761,10896.0,7.933757849120014,8.715571408972425,0.37950336122924955,36445,22614,36445,13831,0,10945,1902,6
4,52,0.8467465753424658,0.27259177477228813,9876,11014.0,7.845939243645382,8.619431410433343,0.37670438862820865,36230,22582,36230,13648,0,10917,1789,0
4,53,0.8372431506849315,0.26814217541550106,9777,10921.0,7.858476375862679,8.641983434808843,0.3800669189841479,36462,22604,36462,13858,0,10928,1899,0
4,54,0.8366438356164384,0.26511514362437955,9774,10916.0,7.984640294066165,8.769251634252855,0.3801502698890607,36867,22852,36867,14015,0,11174,1904,0
4,55,0.8388698630136986,0.2661244253420745,9783,10915.0,7.959817911231726,8.749598759554964,0.378526155436468,36761,22846,36761,13915,0,11163,1900,0
4,56,0.8454623287671232,0.27084990264103337,9876,10995.0,7.795082692137614,8.578751062721114,0.3798096700765159,36463,22614,36463,13849,0,10923,1802,13
4,57,0.841181506849315,0.2694397190363826,9820,10941.0,7.8635459488131545,8.630220051583164,0.37927344564561266,36446,22623,36446,13823,0,10923,1873,7
4,58,0.8405821917808219,0.2701511855258447,9810,10938.0,7.816479566934374,8.590284471126044,0.3793682703164156,36313,22537,36313,13776,0,10852,1867,8
4,59,0.8487157534246575,0.27094430331339286,9919,11044.0,7.790412044374009,8.589663743888115,0.3794968450381054,36609,22716,36609,13893,0,11013,1770,14
4,60,0.8418664383561644,0.26876950878922296,9816,10963.0,7.939814611430831,8.720579376813975,0.3767318328678605,36522,22763,36522,13759,0,11092,1855,0
4,61,0.8372431506849315,0.2697023250676534,9767,10922.0,7.858278557470244,8.638758491191252,0.37825150494283977,36214,22516,36214,13698,0,10856,1893,0
4,62,0.8409246575342466,0.2694438350153576,9825,10953.0,7.896467776203966,8.671621325142606,0.38043001316366826,36464,22592,36464,13872,0,10923,1844,0
4,63,0.836986301369863,0.27059572583324104,9775,10894.0,7.876304222350486,8.642343040637803,0.3765086922821393,36124,22523,36124,13601,0,10828,1908,12
4,64,0.8458047945205479,0.27071367721014594,9851,11014.0,7.813838039094012,8.590315754761054,0.3800049465497815,36389,22561,36389,13828,0,10896,1814,0
4,65,0.8416952054794521,0.2694963555652984,9835,10977.0,7.90519715635625,8.675124678029265,0.37943223543596205,36494,22647,36494,13847,0,10982,1830,0
4,66,0.839041095890411,0.26749454148471613,9801,10924.0,7.984921088495186,8.778193231441048,0.3791757641921397,36640,22747,36640,13893,0,11072,1861,13
4,67,0.84375,0.2707984059365123,9853,10980.0,7.868562847804964,8.627896111034767,0.3777105950254226,36385,22642,36385,13743,0,10951,1826,12
