class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,74,2,18000,12370,5630,18000,0,5830,996,5544,7.650444624090541,8.474055555555555,0.308
3,75,1,18442,10124,8318,18442,0,4910,835,4378,7.9290794152508886,8.523099446914651,0.23739290749376424
3,75,2,18398,12424,5974,18398,0,5953,1052,5415,7.6801352221506765,8.534623328622676,0.2943254701598
3,76,1,18208,10012,8196,18208,0,4851,846,4315,7.969336795844986,8.565960017574692,0.23698374340949033
3,76,2,18378,12473,5905,18378,0,5964,1021,5488,7.785857452096528,8.623952551964305,0.2986179127217325
3,77,1,18316,9988,8328,18316,0,4828,802,4358,7.961653984781738,8.546298318410134,0.237934046735095
3,77,2,18379,12514,5865,18379,0,5997,1044,5473,7.69929678759789,8.542738995592796,0.29778551607813264
3,78,1,18172,9900,8272,18172,0,4816,846,4238,7.957373737373738,8.506548536209554,0.23321593660576712
3,78,2,18044,12590,5454,18044,0,6005,1015,5570,7.639237490071485,8.443083573487032,0.3086898692086012
3,79,1,18241,10107,8134,18241,0,4933,782,4388,7.901751261501929,8.484677375143907,0.24055698700729128
3,79,2,18112,12436,5676,18112,0,5941,990,5504,7.663879060791251,8.497846731448764,0.303886925795053
3,80,1,18254,10004,8250,18254,0,4837,835,4332,8.055177928828469,8.650761476936562,0.2373178481428728
3,80,2,18293,12448,5845,18293,0,5926,1020,5502,7.808483290488432,8.647406111627399,0.30077078663969825
3,81,1,18180,9877,8303,18180,0,4843,783,4250,7.913941480206541,8.483553355335534,0.23377337733773376
3,81,2,18120,12561,5559,18120,0,5940,1021,5600,7.656317172199666,8.472406181015453,0.3090507726269316
3,82,1,18121,9835,8286,18121,0,4810,830,4189,7.863040162684291,8.449092213454003,0.23116825782241598
3,82,2,18310,12609,5701,18310,0,5934,1075,5596,7.597351098421762,8.41616602949208,0.30562534134352815
3,83,1,18215,9950,8265,18215,0,4901,799,4247,7.994974874371859,8.583035959374142,0.23315948394180622
3,83,2,18268,12544,5724,18268,0,5911,1073,5557,7.707908163265306,8.54488723450843,0.30419312458944603
3,84,1,18198,9940,8258,18198,0,4918,826,4195,8.039134808853118,8.60127486536982,0.23051983734476317
3,84,2,18514,12643,5871,18514,0,5994,1052,5596,7.710274460175591,8.564761801879659,0.3022577508912175
3,85,1,18347,10089,8258,18347,0,4951,841,4296,7.974328476558628,8.551643320433858,0.23415272251594266
3,85,2,18095,12385,5710,18095,0,5841,1025,5517,7.72660476382721,8.561149488809063,0.304890853827024
3,86,1,18199,9977,8222,18199,0,4847,833,4297,8.00601383181317,8.56470135721743,0.23611187427880653
3,86,2,18418,12628,5790,18418,0,6069,997,5562,7.70391194171682,8.546421978499295,0.30198718644803996
3,87,1,18286,9980,8306,18286,0,4853,746,4378,7.897595190380762,8.471672317620037,0.23941813409165483
3,87,2,18281,12537,5744,18281,0,5988,1012,5534,7.683576613224854,8.505114599857777,0.30271866965702093
3,88,1,18282,10088,8194,18282,0,4940,793,4352,7.903449643140365,8.469696969696969,0.23804835357181928
3,88,2,18219,12528,5691,18219,0,5986,1043,5498,7.6253192848020435,8.456007464734618,0.30177287447170537
3,89,1,18185,10018,8167,18185,0,4942,826,4249,7.924336194849271,8.494143524883146,0.23365411053065713
3,89,2,18190,12445,5745,18190,0,5836,1105,5504,7.672398553635999,8.499450247388674,0.3025838372732271
3,90,1,18242,9996,8246,18242,0,4877,833,4281,7.9939975990396155,8.58979278587874,0.23467821510799255
3,90,2,18500,12606,5894,18500,0,6038,1012,5550,7.755592574964303,8.595513513513513,0.3
3,91,1,18100,10041,8059,18100,0,4950,774,4317,7.8733193904989545,8.430552486187846,0.23850828729281767
