class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,13,1,18144,15462,0,15462,2682,8850,1104,5487,9.910102186004398,9.910102186004398,0.30241402116402116
0.0,13,2,18146,10338,5073,15411,2735,5256,681,4394,8.667053588701876,9.940172603984168,0.24214702964840737
0.0,14,1,18233,15454,0,15454,2779,8801,1177,5455,9.949851171217807,9.949851171217807,0.29918280041682666
0.0,14,2,17988,10177,5074,15251,2737,5154,688,4325,8.721823720153287,9.987213953183398,0.24043806982432733
0.0,15,1,18136,15508,0,15508,2628,8881,1177,5422,9.952476141346402,9.952476141346402,0.29896338773709746
0.0,15,2,18213,10215,5225,15440,2773,5184,728,4293,8.632501223690651,9.94222797927461,0.23571075605336847
0.0,16,1,18027,15243,0,15243,2784,8661,1184,5375,10.001443285442498,10.001443285442498,0.2981638653131414
0.0,16,2,18333,10320,5107,15427,2906,5208,660,4441,8.668023255813953,9.942179296039411,0.24224076801396388
0.0,17,1,18306,15522,0,15522,2784,8949,1130,5413,9.9272001030795,9.9272001030795,0.2956954004151644
0.0,17,2,17953,10259,4995,15254,2699,5147,695,4403,8.638268837118627,9.91516979153009,0.24525149000167104
0.0,18,1,18326,15449,0,15449,2877,8895,1120,5410,9.923425464431356,9.923425464431356,0.2952089926879843
0.0,18,2,18102,10393,5030,15423,2679,5256,697,4429,8.623400365630713,9.899176554496531,0.2446690973373108
0.0,19,1,18322,15426,0,15426,2896,8784,1145,5480,9.948333981589524,9.948333981589524,0.2990939853727759
0.0,19,2,18160,10147,4971,15118,3042,5123,735,4281,8.696264905883512,9.956872602196057,0.23573788546255506
0.0,20,1,18423,15362,0,15362,3061,8753,1212,5377,9.97864861346179,9.97864861346179,0.2918634315800901
0.0,20,2,18041,10101,4943,15044,2997,5043,708,4333,8.697455697455698,9.958654613134804,0.2401751565877723
0.0,21,1,17873,15173,0,15173,2700,8691,1140,5320,9.932050352600013,9.932050352600013,0.2976556817546019
0.0,21,2,18412,10518,5186,15704,2708,5334,711,4462,8.668758319072067,9.94192562404483,0.24234195090158592
0.0,22,1,18188,15340,0,15340,2848,8759,1127,5435,9.929791395045632,9.929791395045632,0.29882340004398505
0.0,22,2,18268,10413,5147,15560,2708,5333,716,4351,8.735138768846634,9.983354755784061,0.23817604554412086
0.0,23,1,18374,15579,0,15579,2795,8970,1160,5426,9.919057705886129,9.919057705886129,0.2953085882224883
0.0,23,2,18232,10342,5024,15366,2866,5275,715,4338,8.693096112937535,9.947871925029286,0.23793330408073718
0.0,24,1,18191,15406,0,15406,2785,8796,1213,5372,9.941970660781514,9.941970660781514,0.2953108680116541
0.0,24,2,18001,10172,4991,15163,2838,5078,696,4380,8.709398348407392,9.966101694915254,0.2433198155658019
0.0,25,1,18180,15467,0,15467,2713,8890,1147,5414,9.87483028383009,9.87483028383009,0.2977997799779978
0.0,25,2,18157,10402,4975,15377,2780,5288,705,4396,8.669582772543741,9.9099304155557,0.2421104808063006
0.0,26,1,18180,15512,0,15512,2668,8860,1155,5470,9.920706549767921,9.920706549767921,0.3008800880088009
0.0,26,2,18208,10300,5223,15523,2685,5245,685,4360,8.693009708737865,9.972621271661406,0.23945518453427064
0.0,27,1,18314,15363,0,15363,2951,8715,1150,5473,9.958732018485973,9.958732018485973,0.2988424156383095
0.0,27,2,18214,10177,5042,15219,2995,5138,699,4331,8.756214994595657,10.008870490833827,0.23778412210387614
0.0,28,1,18223,15323,0,15323,2900,8735,1102,5465,9.894276577693663,9.894276577693663,0.299895736157603
0.0,28,2,18320,10454,4952,15406,2914,5372,703,4370,8.706045532810407,9.937297156951837,0.23853711790393012
0.0,29,1,18088,15366,0,15366,2722,8762,1137,5445,9.887609006898346,9.887609006898346,0.30102830605926584
0.0,29,2,18032,10427,4915,15342,2690,5342,704,4368,8.721012755346695,9.937817755181854,0.2422360248447205
0.0,30,1,18307,15318,0,15318,2989,8708,1116,5474,9.901162031596813,9.901162031596813,0.2990113071502704
0.0,30,2,18418,10282,5012,15294,3124,5245,702,4322,8.756953900019452,9.989669151301165,0.23466174394613964
0.0,31,1,18231,15300,0,15300,2931,8686,1190,5404,9.961960784313726,9.961960784313726,0.2964181887992979
0.0,31,2,18328,10278,5135,15413,2915,5202,686,4376,8.700038918077446,9.981314474794004,0.23876036665211697
0.0,32,1,18343,15289,0,15289,3054,8577,1174,5521,9.989338740270783,9.989338740270783,0.30098675243962275
0.0,32,2,18254,10298,4975,15273,2981,5317,656,4312,8.68052048941542,9.933673803443986,0.2362221978744385
0.0,33,1,18353,15303,0,15303,3050,8660,1216,5405,9.957393975037574,9.957393975037574,0.2945022612107012
0.0,33,2,18037,10239,4819,15058,2979,5190,720,4316,8.72927043656607,9.947071324213043,0.239285912291401
0.0,34,1,18452,15269,0,15269,3183,8678,1133,5440,9.942759840199097,9.942759840199097,0.29481898981140253
0.0,34,2,18277,10240,4912,15152,3125,5157,739,4335,8.7630859375,9.975184794086589,0.23718334518794112
0.0,35,1,18071,15197,0,15197,2874,8646,1182,5349,10.010396788839902,10.010396788839902,0.29599911460350836
0.0,35,2,18527,10353,5142,15495,3032,5218,687,4436,8.688399497730126,9.970700225879316,0.2394343390727047
0.0,36,1,18069,15535,0,15535,2534,8945,1130,5444,9.862568393949147,9.862568393949147,0.3012895013559134
0.0,36,2,18179,10494,5110,15604,2575,5420,688,4378,8.622832094530208,9.894962830043578,0.24082732823587655
0.0,37,1,18176,15313,0,15313,2863,8782,1118,5380,9.954287206948344,9.954287206948344,0.29599471830985913
0.0,37,2,18355,10421,5028,15449,2906,5244,681,4489,8.604836388062566,9.878632921224675,0.2445655134840643
0.0,38,1,18225,15406,0,15406,2819,8796,1211,5377,9.946773984162014,9.946773984162014,0.2950342935528121
0.0,38,2,18179,10268,5064,15332,2847,5212,677,4362,8.664102064666926,9.927341507957214,0.2399471918147313
0.0,39,1,18225,15334,0,15334,2891,8746,1173,5393,9.934981087778793,9.934981087778793,0.2959122085048011
0.0,39,2,18323,10335,5025,15360,2963,5255,726,4340,8.728301886792453,9.972005208333334,0.23686077607378705
0.0,40,1,18335,15267,0,15267,3068,8667,1147,5430,10.012838147638698,10.012838147638698,0.29615489500954456
0.0,40,2,18364,10173,5077,15250,3114,5082,687,4390,8.679740489531111,9.959934426229507,0.23905467218470922
