sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,43,1,18124,13788,3835,17623,501,7584,1082,5103,9.534595300261097,10.136639618680134,0.2815603619510042,0.43690068493150686,0.21761334619531295,131463.0,178638.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,43,2,18145,11441,6225,17666,479,5945,762,4720,8.960492963901757,10.127759538095777,0.26012675668228163,0.4041095890410959,0.35237178761462695,102517.0,178917.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,44,1,18277,14042,3785,17827,450,7751,1095,5176,9.521506907847884,10.11190890222696,0.28319746129014606,0.44315068493150683,0.21231839344814046,133701.0,180265.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,44,2,18167,11383,6311,17694,473,5984,859,4530,8.980233681806203,10.170566293658867,0.24935322287664446,0.3878424657534247,0.3566745789533175,102222.0,179958.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,45,1,18124,13769,3732,17501,623,7634,1047,5066,9.650737163192678,10.221301639906292,0.27951887000662107,0.43373287671232874,0.21324495743100394,132881.0,178883.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,45,2,18373,11551,6168,17719,654,6010,829,4699,9.007272097653884,10.167447372876573,0.25575572851466827,0.40231164383561646,0.34810090862915516,104043.0,180157.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,46,1,18373,13944,3623,17567,806,7708,1061,5155,9.608648881239242,10.183013605054933,0.28057475643607466,0.4413527397260274,0.20623897079751807,133983.0,178885.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,46,2,18587,11495,6294,17789,798,6016,844,4628,8.967377120487168,10.179099443476305,0.24899123042987034,0.39623287671232876,0.3538141548147732,103080.0,181076.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,47,1,18278,13978,3586,17564,714,7779,1013,5158,9.592502503934755,10.155260760646778,0.282197176934019,0.4416095890410959,0.20416761557731725,134084.0,178367.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,47,2,18369,11473,6200,17673,696,5987,826,4646,8.974548940991895,10.1720138063713,0.25292612553759053,0.3977739726027397,0.35081763141515304,102965.0,179770.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,48,1,17951,13698,3744,17442,509,7537,1008,5136,9.560154767119288,10.146256163284027,0.28611219430672385,0.4397260273972603,0.21465428276573786,130955.0,176971.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,48,2,18306,11448,6326,17774,532,5949,807,4677,8.967330538085255,10.147068752109824,0.2554900032776139,0.40042808219178083,0.35591313154045234,102658.0,180354.0
