class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
12,0.5,0.000839041095890411,0.0007034639845669474,50,9.948483076155945e-05,0.0001949902682926565,class1_no_show_slot_loss
12,0.6,0.001,0.0008409039756865574,50,0.00011892178070693848,0.00023308669018559942,class1_no_show_slot_loss
12,0.7,0.0011609589041095892,0.000991106076955425,50,0.00014016356557807543,0.0002747205885330278,class1_no_show_slot_loss
12,0.8,0.0013356164383561645,0.0011193797640555335,50,0.00015830420437733304,0.00031027624057957277,class1_no_show_slot_loss
12,0.9,0.0014691780821917807,0.0012260678084121763,50,0.00017339217230455574,0.0003398486577169292,class1_no_show_slot_loss
3,0.0,0.3191726482978694,0.0028294721345843293,50,0.00040014778670859096,0.0007842896619488383,class1_served_rate
3,0.1,0.295843038161901,0.002828302425382011,50,0.00039998236484679585,0.0007839654350997199,class1_served_rate
3,0.2,0.2727273415249461,0.002870565348695786,50,0.0004059592447803833,0.0007956801197695513,class1_served_rate
3,0.3,0.2495886654562627,0.002658329327398806,50,0.0003759445388061539,0.0007368512960600616,class1_served_rate
3,0.4,0.2260089302030231,0.0027766524341349477,50,0.000392677953034991,0.0007696487879485824,class1_served_rate
3,0.5,0.20250906136612845,0.0028757009937029868,50,0.000406685534662455,0.0007971036479384118,class1_served_rate
3,0.6,0.17918396688783186,0.002878305577354301,50,0.0004070538784148574,0.0007978256016931205,class1_served_rate
3,0.7,0.15601239115951535,0.0027740773847842203,50,0.00039231378606343313,0.0007689350206843289,class1_served_rate
3,0.8,0.13254666483448962,0.0025628447664331777,50,0.00036244098269467065,0.0007103843260815544,class1_served_rate
3,0.9,0.10958477495406538,0.0023404277434302327,50,0.00033098646565132936,0.0006487334726766055,class1_served_rate
6,0.0,0.3191726482978694,0.0028294721345843293,50,0.00040014778670859096,0.0007842896619488383,class1_served_rate
6,0.1,0.3022187703948851,0.002833360264528416,50,0.0004006976513185106,0.0007853673965842807,class1_served_rate
6,0.2,0.28544708044867834,0.0028615487680456924,50,0.000404684107716224,0.000793180851123799,class1_served_rate
6,0.3,0.2686512092333979,0.0027680843970390324,50,0.00039146624960859506,0.0007672738492328463,class1_served_rate
6,0.4,0.2514775878292801,0.0030184607786110955,50,0.00042687481706030634,0.0008366746414382004,class1_served_rate
6,0.5,0.23439163561832876,0.0030885371729031004,50,0.0004367851157813021,0.0008560988269313521,class1_served_rate
6,0.6,0.2173533069007491,0.003013981511385305,50,0.0004262413530142857,0.000835433051908,class1_served_rate
6,0.7,0.2002888249846643,0.0030516999752810757,50,0.0004315755493336136,0.0008458880766938826,class1_served_rate
6,0.8,0.18312379895773379,0.0028775915610770773,50,0.0004069529012645569,0.0007976276864785314,class1_served_rate
6,0.9,0.1664262780542404,0.0027013220067765658,50,0.0003820246218320325,0.0007487682587907836,class1_served_rate
9,0.0,0.3191726482978694,0.0028294721345843293,50,0.00040014778670859096,0.0007842896619488383,class1_served_rate
9,0.1,0.30682116567038514,0.002837311808443828,50,0.00040125648401825945,0.0007864627086757886,class1_served_rate
9,0.2,0.29465207649628944,0.0028516783790849937,50,0.0004032882239228122,0.0007904449188887119,class1_served_rate
9,0.3,0.28255444160245247,0.002758052025532206,50,0.00039004745802382316,0.0007644930177266934,class1_served_rate
9,0.4,0.2700994887685433,0.0029214258696826363,50,0.0004131520086372798,0.0008097779369290684,class1_served_rate
9,0.5,0.2576448864040259,0.003044228929415986,50,0.0004305189838948615,0.0008438172084339285,class1_served_rate
9,0.6,0.24523813201625125,0.002997149466224167,50,0.00042386094235935,0.0008307674470243259,class1_served_rate
9,0.7,0.23281755041825739,0.0031295897344533127,50,0.0004425908247127488,0.0008674780164369876,class1_served_rate
9,0.8,0.220181902176163,0.003050472183014568,50,0.00043140191328610645,0.0008455477500407686,class1_served_rate
9,0.9,0.20800013899782807,0.0029291270395576307,50,0.00041424111852561546,0.0008119125923102063,class1_served_rate
12,0.0,0.3191726482978694,0.0028294721345843293,50,0.00040014778670859096,0.0007842896619488383,class1_served_rate
12,0.1,0.3190559157656036,0.0028444712667205895,50,0.0004022689843176835,0.0007884472092626597,class1_served_rate
12,0.2,0.3189435234073041,0.002849699102223608,50,0.0004030083119047059,0.0007898962913332235,class1_served_rate
12,0.3,0.31884525417545656,0.00287679920333461,50,0.0004068408449579921,0.0007974080561176644,class1_served_rate
12,0.4,0.31874264895627763,0.002902359065038483,50,0.0004104555552653918,0.0008044928883201679,class1_served_rate
12,0.5,0.3186379743500206,0.0029239901079063666,50,0.00041351464668459533,0.0008104887075018069,class1_served_rate
12,0.6,0.3185354307474976,0.0029353525454143756,50,0.0004151215380071396,0.0008136382144939936,class1_served_rate
12,0.7,0.318432965476052,0.0029556542601029572,50,0.00041799263403234177,0.0008192655627033899,class1_served_rate
12,0.8,0.31832176879769014,0.00299670928190831,50,0.000423798690896407,0.0008306454341569578,class1_served_rate
12,0.9,0.3182367891320618,0.0030174607544734516,50,0.00042673339229049067,0.0008363974488893617,class1_served_rate
