class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.05,47,0.8031678082191781,0.25715465052283987,9345,10485.0,9.7630615177785,10.774151984538248,0.39578723285062045,36340,21571,35701,14130,639,9897,2294,35
0.05,48,0.8078767123287671,0.2570771505229152,9390,10516.0,9.815423807318203,10.8431654676259,0.3908872901678657,36526,21590,35445,13855,1081,9898,2259,43
0.05,49,0.8002568493150685,0.2540213929942027,9333,10430.0,9.834366040876722,10.855327766527035,0.40006103143118704,36741,21626,36047,14421,694,9926,2319,48
0.05,50,0.8005993150684931,0.25620584435220056,9320,10453.0,9.791577874548318,10.8048153276627,0.390001978127561,36377,21586,35387,13801,990,9917,2315,34
0.05,51,0.8029965753424657,0.257109167192256,9376,10480.0,9.848074776785714,10.849250219689884,0.39042435581256907,36467,21504,35277,13773,1190,9811,2268,49
0.05,52,0.8088184931506849,0.25810172470614084,9398,10526.0,9.796733212341199,10.807320032734149,0.3935999096989023,36412,21489,35437,13948,975,9819,2228,44
0.05,53,0.8066780821917808,0.2574819118614339,9395,10505.0,9.80613244971298,10.82933717416476,0.39487136038860177,36488,21427,35409,13982,1079,9743,2255,34
0.05,54,0.8040239726027397,0.2540109129407932,9357,10499.0,9.843709588028819,10.85283220120137,0.39224162128782347,36837,21652,35626,13974,1211,9975,2274,46
0.05,55,0.8060787671232876,0.25458877037197464,9404,10484.0,9.858139320029563,10.889662111176323,0.39498616584220675,36938,21648,35781,14133,1157,9952,2253,39
0.05,56,0.813527397260274,0.2608468661555794,9493,10614.0,9.7604137675109,10.762523503493952,0.39499901776443186,36393,21558,35633,14075,760,9882,2151,32
0.05,57,0.8077054794520548,0.2591859185918592,9424,10542.0,9.807400158441679,10.814323011706577,0.3975744645012773,36360,21459,35621,14162,739,9786,2211,38
0.05,58,0.8059075342465754,0.25780736357659434,9411,10495.0,9.77741935483871,10.79683191716842,0.38945472961566596,36504,21700,35542,13842,962,10005,2246,38
0.05,59,0.806763698630137,0.2564732203759788,9400,10524.0,9.81772513595723,10.841607233110574,0.3907452125568597,36651,21698,35614,13916,1037,10020,2240,38
0.05,60,0.8083047945205479,0.2581025823979802,9405,10525.0,9.8414411888406,10.862940427338334,0.39439649073156924,36439,21399,35335,13936,1104,9723,2231,40
0.05,61,0.8041095890410959,0.25810092778680177,9375,10498.0,9.808654338814105,10.808692223192406,0.3952905388277047,36323,21469,35503,14034,820,9762,2287,45
0.05,62,0.8072773972602739,0.2551761517615176,9416,10520.0,9.847382308012776,10.861903290157624,0.39302070748222867,36900,21603,35591,13988,1309,9918,2233,36
0.05,63,0.8065924657534247,0.2587532023911187,9393,10506.0,9.797991949289779,10.808839685624948,0.39116594833657287,36301,21613,35499,13886,802,9936,2235,49
0.05,64,0.8072773972602739,0.2556943423952976,9396,10529.0,9.794716770532974,10.808810375670841,0.39898255813953487,36747,21502,35776,14274,971,9826,2245,35
0.05,65,0.8097602739726028,0.25940098001431483,9423,10550.0,9.80339547578295,10.809634766008815,0.3931388787512984,36326,21617,35621,14004,705,9937,2217,40
0.05,66,0.8083904109589041,0.2585819258609344,9431,10529.0,9.848077727674212,10.857973865392722,0.395503723478994,36472,21511,35585,14074,887,9827,2216,37
