h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95,metric
2,5,12,12,0.5,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,12,12,0.7,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,12,12,0.7,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,7,5,9,0.3,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,5,9,0.3,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,5,9,0.5,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,5,9,0.5,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,5,9,0.7,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,5,9,0.7,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,5,12,0.3,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,5,12,0.3,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,5,12,0.5,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
