selection_objective,comparison,noshow_level,balk_level,rho,delta_average_utilization,delta_priority_weighted_utilization,delta_class_1_percent_serviced,delta_class_2_percent_serviced,delta_class_1_slot_utilization,delta_class_2_slot_utilization,n_rows
priority_weighted_utilization,reservation_only_vs_horizon_only,low,medium,1.2,-0.003305022831050188,0.013837077625570772,0.05979862088764976,-0.1066685367108437,0.030912511415525118,-0.03415086757990868,100
average_utilization,horizon_only_vs_baseline,low,medium,1.4,-0.00022210045662110267,-0.0005408219178082174,-0.0008762281337783962,-0.0008123679661843797,-0.0007777168949771705,0.0004737899543378964,100
average_utilization,reservation_only_vs_baseline,low,medium,1.4,-0.00024401826484023005,0.02669086757990868,0.09536633766376608,-0.1561298824506734,0.053778995433789965,-0.054176255707762556,100
average_utilization,both_flexible_vs_baseline,low,medium,1.4,-0.00029205479452063866,0.028319360730593605,0.10118704921995715,-0.13570722460934415,0.057115799086758,-0.05759287671232877,100
average_utilization,both_flexible_vs_horizon_only,low,medium,1.4,-6.995433789953598e-05,0.028860182648401827,0.10206327735373556,-0.13489485664315976,0.05789351598173517,-0.05806666666666667,100
average_utilization,both_flexible_vs_reservation_only,low,medium,1.4,-4.803652968040861e-05,0.0016284931506849287,0.005820711556191068,0.02042265784132927,0.0033368036529680366,-0.0034166210045662084,100
average_utilization,reservation_only_vs_horizon_only,low,medium,1.4,-2.1917808219127367e-05,0.027231689497716895,0.09624256579754448,-0.15531751448448902,0.05455671232876713,-0.05465004566210045,100
priority_weighted_utilization,horizon_only_vs_baseline,low,medium,1.4,-0.00027780821917817165,-0.00031360730593607333,-9.648396838910056e-05,-0.000958934631756787,-0.00025278538812784995,-0.00012164383561644107,100
priority_weighted_utilization,reservation_only_vs_baseline,low,medium,1.4,-0.0007408219178082265,0.03872794520547945,0.1337632567857135,-0.20691929766224706,0.07828803652968037,-0.07912018264840183,100
priority_weighted_utilization,both_flexible_vs_baseline,low,medium,1.4,-0.000730958904109662,0.03879452054794521,0.13346879648684465,-0.2071788603748375,0.07840401826484018,-0.07921899543378996,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,medium,1.4,-0.00045315068493149036,0.039108127853881285,0.13356528045523372,-0.20621992574308068,0.07865680365296805,-0.07909735159817352,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,medium,1.4,9.86301369856446e-06,6.657534246575448e-05,-0.0002944602988688372,-0.0002595627125904099,0.00011598173515981746,-9.881278538812987e-05,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,medium,1.4,-0.0004630136986300548,0.03904155251141553,0.13385974075410256,-0.20596036303049026,0.07854082191780823,-0.07899853881278539,100
average_utilization,horizon_only_vs_baseline,low,medium,1.7,-0.0001375342465752416,-0.00028757990867579796,-0.0005650680636749539,0.0006780143015870277,-0.00039470319634703265,0.00021424657534246868,100
average_utilization,reservation_only_vs_baseline,low,medium,1.7,-5.844748858447546e-05,0.037894520547945204,0.1463641165839532,-0.10525118119313728,0.07590703196347032,-0.07602502283105023,100
average_utilization,both_flexible_vs_baseline,low,medium,1.7,0.0005609132420092799,0.046829680365296805,0.15277529383299515,-0.1622232438150333,0.09310703196347032,-0.09255470319634704,100
